No,Nama,Alamat,Tipe,Status,Harga (Juta),Luas Bangunan (m2),Luas Tanah (m2),Jenis Sertifikat,Link,Lokasi,,Mapid form Submitted = 48,LatLong,catatan,PZ,Foto,
48,Perum Bimomartani,"Jl. Cangkringan No.52, Area Sawah, Bimomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Rumah,Jual,450,45,99,HM,,,,TRUE,"-7.6994604,110.4565283",,,"48/rizujajctoldlrhv3ok1
48/zcc0pddni5da8nemgkbj
48/gfu6bjsrzzx5b5z6ivks
48/scpwisxyiydwcoy2vglz
48/esrprjfnayj4s8grlcng
48/w1qmt0u6zkhkhjvdbmos",
31,Perumahan Casa Grande,"Jl. Casa Grande No.465, Jenengan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Rumah,Jual,4250,300,300,HM,"https://www.google.co.id/maps/@-7.7623829,110.4204269,3a,90y,317.25h,81.02t/data=!3m7!1e1!3m5!1svUEQqNNYTLYXyRTYOOBAGA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D8.979942250805607%26panoid%3DvUEQqNNYTLYXyRTYOOBAGA%26yaw%3D317.2548947231589!7i16384!8i8192?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7623829,110.4204269",,,"31/hybnuyofrkiollcyrhjo
31/e2zzswpaqawps6jjxm6v
31/akagt9zpnnmtz2edgqi3
31/ij4fdis4zo0btqtcm5gy
31/fncxkkbblic8m0bpeafn
31/aqs1i95dyx5djhhe1waz
31/s1qlekcvgyjjjgshc8tp
31/fsgqpi3wmj4wfrzlhhx5
31/jb6lhrutk8mmxahojdfb
31/onq1cnd9jgakd5g0bmfw",
33,Perumahan Nogotirto,"Jl. Lingkungan Nogotirto Asri, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592",Rumah,Jual,1700,117,249,HM,"https://www.google.co.id/maps/@-7.7685864,110.3395712,3a,89.4y,204.04h,83.48t/data=!3m7!1e1!3m5!1s3cqxCa3sxDiLDAxJuqsj9A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D6.516914464275402%26panoid%3D3cqxCa3sxDiLDAxJuqsj9A%26yaw%3D204.03903039271518!7i16384!8i8192?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7685864,110.3395712",harganya gaada,,"33/sif1pnheo7hetrdp8o8z
33/pcqkf0mbksbxuqhah2qp
33/pctmdbxzvvty7gler8bj
33/dhfiotlvvkfu7qzmt35d
33/zhljkibtgrdzbz65nvyl
33/mi8afbp6l0yf4m2zzwga",
35,Ruko Godean,"Jl. Ngapak - Kentheng No.56, Nogosaren, Sidoarum, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264",Ruko,Jual,,238,238,HGB,"https://www.google.co.id/maps/place/Toko+Tekstil+Niagara+1+Godean/@-7.7770216,110.3299672,3a,75y,17.94h,90t/data=!3m7!1e1!3m5!1s_umbbhHBzfuZ11-QMx-KoQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0%26panoid%3D_umbbhHBzfuZ11-QMx-KoQ%26yaw%3D17.944992!7i16384!8i8192!4m14!1m7!3m6!1s0x2e7af7dfe3666191:0x1914522d4b29309e!2sToko+Tekstil+Niagara+1+Godean!8m2!3d-7.7769037!4d110.3300078!16s%2Fg%2F11b6zqcr2q!3m5!1s0x2e7af7dfe3666191:0x1914522d4b29309e!8m2!3d-7.7769037!4d110.3300078!16s%2Fg%2F11b6zqcr2q?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,FALSE,"-7.7769447,110.3300261",gaada harga,,,
,Ruko Krasakan,,Ruko,Jual,450,180,200,,https://www.facebook.com/share/p/14mUHBJKtG/,,,FALSE,,gaada lokasi,,,
30,Perumahan Sanggrahan Asri,"B9, RT.21/RW.01, Sanggrahan, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,350,36,75,HM,"https://www.google.co.id/maps/place/Perum+Purwo+Alam+Asri+B9+Sanggrahan+Purwomartani/@-7.7370367,110.4509079,16.01z/data=!4m10!1m2!2m1!1sPerum+Sanggrahan+Asri+kalasan!3m6!1s0x2e7a5b00220f024b:0xf4b54ff6e4b0d51a!8m2!3d-7.7362074!4d110.4574902!15sCh1QZXJ1bSBTYW5nZ3JhaGFuIEFzcmkga2FsYXNhbpIBD2hvdXNpbmdfY29tcGxleOABAA!16s%2Fg%2F11y4qqj14q?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.735771589511329, 110.45745248940995",,,"30/beihcjhyaaci0fndqlfx
30/xyo0atzyklnwsnfp603p
30/cr9xu9uzkdrxnwpbyeh1
30/fas69nlfkvz748xfcwvb
30/ikcuzeyl88kmy4z3es8m
30/y1w0kurpck1katnvhh8o",
9,Ruko Area Monjali,"Jl. Monjali No.126, Gemawang, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Ruko,Jual,3900,227,134,HGB,,"https://www.google.com/maps/place/Alexa+Salon+%26+Spa/@-7.763142,110.3668954,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58504d919817:0x9154b64434dd2407!8m2!3d-7.7631473!4d110.3694703!16s%2Fg%2F11b61r3f0r?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,TRUE,"-7.762886852539515, 110.3693844693192","fotonya cuma satu, agak blur",,9/cblyanguqc0ohqgonyz2,
36,Ruko Bale Mulia,"Jl. Kebon Agung, Duwet, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",Ruko,Jual,3750,160,100,HGB,"https://www.google.co.id/maps/place/Bale+Mulia+Residence/@-7.7383484,110.3535868,3a,75y,81.84h,87.64t/data=!3m7!1e1!3m5!1swWokH79mvp5U7KZC-GSJyA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3552999539920165%26panoid%3DwWokH79mvp5U7KZC-GSJyA%26yaw%3D81.84088262422243!7i16384!8i8192!4m14!1m7!3m6!1s0x2e7a58954bac48a3:0x7cac7d4ed83e010f!2sBale+Mulia+Residence!8m2!3d-7.7363038!4d110.3545739!16s%2Fg%2F11bv3rtxvy!3m5!1s0x2e7a58954bac48a3:0x7cac7d4ed83e010f!8m2!3d-7.7363038!4d110.3545739!16s%2Fg%2F11bv3rtxvy?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7378773,110.3535314",,,"36/sovips3cwti9zro4odvl
36/kqjgk7xk0djltapuxo3k
36/xc7suy2tivp14bn1du1h
36/n7rjlsurjkxhwf85aazj",
39,Mataram City,"Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Apartemen,Jual,650,34,34,HM,"https://www.google.com/maps/place/Mataram+City+Yogyakarta+(MICC)/@-7.7392791,110.3747065,661m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e7a592cb4a9bec3:0x4a90a2346dd9f452!8m2!3d-7.7392844!4d110.3772814!16s%2Fg%2F1pzpyfc7v?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,FALSE,"-7.739108002238334, 110.377271009617",,,,
58,Ruko Dekat JCM,"Jl. Magelang No.5,8, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Ruko,Jual,7900,250,383,HM,"-7.7540604,110.3621092",,,TRUE,,,,"58/w3tdaavqrshu9e8xqvoi
58/v7vgpznc68m0kpbz1dvt
58/epynkmgflberbs5rxvf3",
6,Ruko Gejayan,"Jl. Affandi No.28, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,6000,250,110,HGB,https://www.rumah123.com/properti/sleman/shs4499913/, https://g.co/kgs/bS7Ytx4,,TRUE,"-7.770943516432135, 110.38998626303241",,,"6/vbw9ey9ybtpumlicjpmk
6/ko185n3m5budso8ytyyj
6/criaiqrv4r7kndmgk8aq",
8,Ruko Godean,"Jl. Ngapak - Kentheng No.Km. 5, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293",Ruko,Jual,5600,250,397,HM,,"https://www.google.com/maps/@-7.7774403,110.33279,3a,47.7y,2.4h,85.51t/data=!3m7!1e1!3m5!1s4lO5P7Z81pcvjXyuipZDCQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D4.487274642231128%26panoid%3D4lO5P7Z81pcvjXyuipZDCQ%26yaw%3D2.401081598452338!7i16384!8i8192?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,TRUE,"-7.7772675525768555, 110.33277188994255",,,"8/yayndgmnvejw7conivas
8/kottpwkifg36yqemnqtz
8/h0zvi2f5515qwq0dflxw
8/particwsnzzf5cm9nazi
8/l3kuvrgyyom8xhdvfjag",
57,Ruko Indomaret,"Jl. Kaliurang No.15, Gondangan, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Ruko,Jual,6500,250,369,HM,"-7.7216556,110.4027344",,,TRUE,"-7.7216556,110.4027344",,,57/tkovhprt7q0euvctya2n,
46,Ruko Jakal,"Jl. Kaliurang Prujakan KM 8, Tambakan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",Ruko,Jual,3100,150,196,HM,,,,TRUE,"-7.7370032,110.3910959",,,"46/u6mlnwx96hoet67vme2f
46/n9aqwl9gu4uj1vta52br
46/nxx4rbmzrpwybkjycx6m",
50,Ruko Jamal,"Km 8, Jl. Magelang No.5, Mlati Glondong, Sendangadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55285",Ruko,Jual,3700,250,301,HGB,"-7.7297971,110.3607856",,,TRUE,"-7.7297971,110.3607856",,,50/giotjwgebpie3wllqdn6,
54,Ruko Jamal (Kantor),"Jl. Magelang - Yogyakarta Jl. Murangan VII No.KM.13,5, Panggeran 7, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514",Ruko,Jual,3300,500,328,HM,"-7.6925767,110.3441345",,,TRUE,"-7.6925767,110.3441345",,,54/hiezm3ys6twke8uhchjh,
52,Ruko Jamal Pemda,"Jl. KRT Pringgodiningrat, Drono, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511",Ruko,Jual,2500,175,345,HM,"-7.7188135,110.3520005",,,TRUE,"-7.7188135,110.3520005",,,52/tlkanxbseptnuvh0lijb,
56,Ruko Kronggahan,"Jl. Kabupaten, KRONGGAHAN II, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",Ruko,Jual,4000,390,250,HM,"-7.7409983,110.3497101",,,TRUE,"-7.7409983,110.3497101",,,56/uf2mxjtjhsqx3pcogxua,
49,Bale Mulia Residence,"Jl. Kebon Agung, Duwet, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",Rumah,Jual,4300,240,210,HM,,,,FALSE,"-7.7366567,110.3526544",,,,
59,Ruko Monjali,"Jl. Monumen Jogja Kembali No.31, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Ruko,Jual,3900,280,194,HM,"-7.7536291,110.3703001",,,TRUE,"-7.7536291,110.3703001",,,59/ckr7r2gzs9zmi8bzo7zn,
11,Rumah Adisucipto,"Jl. Raya Berbah, Wotgaleh, Sendangtirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,850,114,114,HM,,"https://www.google.com/maps?q=-7.8048151,110.4289461&z=17&hl=en",,TRUE,"-7.8045759295548365, 110.42892463775863",,,"11/mgaiuez5d97ssattdp7b
11/unlbzfthvoknqkpdmq7c
11/ohuwhnqsuucfrrk8efvs
11/f4j9cbxtecimuput0chg",
16,Rumah Godean,"Wirokraman, Sidokarto, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,525,85,117,HM,"https://www.google.com/maps/@-7.7831262,110.3106816,3a,75y,242h,83.99t/data=!3m7!1e1!3m5!1sIZTWhEqMCQIUQyw9pJFTRQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D6.010000000000005%26panoid%3DIZTWhEqMCQIUQyw9pJFTRQ%26yaw%3D242!7i16384!8i8192?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7831262,110.3106816",,,"16/ygn1ptfibaulj11qfph7
16/vswxz41p04ajprks4avo
16/qs0vzgc1mlp2usghqmsi
16/n6alghuwpkq45gvc1shm
16/hoeh0rrwhfsxsrxcgu3m",
34,Rumah Griya Ayem,"Losari, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,1288,95,147,HM,"https://www.google.co.id/maps/place/Griya+Ayem+Jakal+2/@-7.6953259,110.4294373,17z/data=!4m15!1m8!3m7!1s0x2e7a5df627c0be19:0xce13cc75afc7a864!2sGriya+Ayem+Jakal+2!8m2!3d-7.6949487!4d110.4293718!10e5!16s%2Fg%2F11tf1dlchg!3m5!1s0x2e7a5df627c0be19:0xce13cc75afc7a864!8m2!3d-7.6949487!4d110.4293718!16s%2Fg%2F11tf1dlchg?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.694735811750389, 110.4294158423298",,,"34/iljf9ahjaitdgmtgi62s
34/i6zpnuor6j5bltbtdibj
34/sm5zl06opytqw9jtfuf2
34/knamztzlqjlkc38nplay",
44,Rumah Griya Penen Asri,"Bondosari, Harjobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",Rumah,Jual,530,60,60,HM,,,,TRUE,"-7.6994918,110.4008952",,,"44/afd4elchvgvgkphg0nod
",
55,Gudang Berbah,"Jl. Berbah - Kalasan, Sumber Lor, Kalitirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573",Gudang,Jual,,,,HM,"-7.7983456,110.4558365",,,FALSE,,,,,
20,Rumah Jl Palagan,"Jl. Randugowang Utama, Tegal Weru, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Rumah,Jual,888,68,92,HM,"https://www.google.com/maps/place/-7.723724,110.376323/data=!4m6!3m5!1s0!7e2!8m2!3d-7.7237241!4d110.3763235?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI0LjQ5LjYYACD67A0qfiw5NDI0MjU2Miw5NDIyMzI5OSw5NDIxNjQxMyw5NDIxMjQ5Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxNzUyMyw5NDIxODY1Myw5NDIyODIwNCw5NDIyOTgzOSw0NzA4NzExOCw0NzA4NDM5Myw5NDIxMzIwMEICSUQ%3D&hl=id",,,TRUE,"-7.723569843222608, 110.37630154232981",,,"20/pqw0yy1bpag7vsulck9l
20/zkc5cmqjrmxfnlezc2pj
20/j2dmir7pis5ekxrn5yxj",
4,Rumah Ngaglik,"Besi, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,535,36,80,HM,https://www.rumah123.com/properti/sleman/hos19180621/,https://maps.app.goo.gl/mHGCFtoaWacLC6Tq9,,TRUE,"-7.703920765506316, 110.4165277498556",,,"4/hvavgtfhvmwiqjr5vbou
4/dcvgvqetcdbpdbke1dkb
4/hepphknab3fetjqctra2
4/xbzjaonijphxwgfdpaun
4/xbzjaonijphxwgfdpaun
4/k1iyq42juuphbe3y8rj3
4/hystnzvvlkoowiblugb6",
63,Sofia Residence,"79QM+92P, Ngetiran, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,1370,120,94,HM,"-7.7111732,110.3814846",,,,"-7.7111732,110.3814846",,,"63/cyibxghtxoqvj96efoty
63/mhhyjumom7gkbqgkcuzi
63/mxxvi934ec0eevo0kusy",
21,Tana Apartemen,"Jl. Babarsari No.TB 17/88, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,375,"29,5","29,5",HGB,"https://www.google.com/maps/place/TANA+BABARSARI+APARTMENT/@-7.7708756,110.4165821,15z/data=!4m15!1m8!3m7!1s0x2e7a59d235ae955b:0x7d745e3bb8d190da!2sTANA+BABARSARI+APARTMENT!8m2!3d-7.7708834!4d110.4166139!10e5!16s%2Fg%2F11gl144bpy!3m5!1s0x2e7a59d235ae955b:0x7d745e3bb8d190da!8m2!3d-7.7708834!4d110.4166139!16s%2Fg%2F11gl144bpy?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.769961392368682, 110.41649626931921",,,"21/lbj8py33aj9nsf5uhyy5
21/rxy3gno42mgbfanujyar
21/lcf6z0fewlyzqblrwtca
21/pmnzxtjpitzxoj1pdrpd",
60,Ruko Jl Affandi,"Jl. Affandi No.20, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,2999,400,,HM,"-7.7721596,110.3873082",,,,,,,,
14,Toko Raya Candi Gebang,"Perum Candi Gebang Blok II - 22, Jl. Jetis Raya, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",Ruko,Jual,3300,274,137,HM,"https://www.google.com/maps/place/Toko+Alat+Kesehatan+Murah+Jogja/@-7.744301,110.4129118,17z/data=!4m17!1m10!3m9!1s0x2e7a599d9cbdca71:0x1c2fa31898667159!2sToko+Alat+Kesehatan+Murah+Jogja!8m2!3d-7.744301!4d110.4129118!10e5!14m1!1BCgIgAQ!16s%2Fg%2F11h4lkh8_n!3m5!1s0x2e7a599d9cbdca71:0x1c2fa31898667159!8m2!3d-7.744301!4d110.4129118!16s%2Fg%2F11h4lkh8_n?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.744232985537861, 110.41291448071283","ada dua foto tapi beda ruko, kualitas rendah jugaa",,"14/qfv09mbg3vwvwdlzvsdf
14/k0dbv0zgxk5him3arlya
14/bl4uehbitbgerzl52znz
14/j7mwxdklwlqrjpk9wi5f",
62,Tomoro Coffe,"Jl. Seturan Raya No.C8, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,7500,300,380,HGB,"-7.7688942,110.4100152",,,,"-7.7688942,110.4100152",,,"62/ba6zzmbv1ab3btw1s9ww
62/lju6zhccntfqo9agsdro",
24,Uttara Apartemen ,"Apartemen Uttara, Jl. Kaliurang Km 5, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Apartemen,Jual,1500,70,70,HM,Nariska Apartemen Uttara - Google Maps,,,TRUE,"-7.758092549569444, 110.3814865423298",,,"24/maxlvbkvdxybndco9wet
24/p4t9e8n0qtji0ndyrza6
24/iczpuq6x43qrrmuxxtyq
24/elxqryyqwibqrgavodiq
24/dggrqb4vdltq7hzzieia
24/gqujmjoest4gesetdioz
24/ohpk5hkklsmstkawhsg9
24/krcdqd1vfc0gk0nazv4w",
42,Wahana Kaos ,"Jl. Ring Road Bar. No.18, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293",Gudang,Jual,13500,600,1720,HGB,"https://www.google.co.id/maps/place/Wahana+Kaos/@-7.7962607,110.3302832,17z/data=!4m15!1m8!3m7!1s0x2e7af7ffda1ccde7:0x5c3f17bb3b905382!2sWahana+Kaos!8m2!3d-7.7962697!4d110.3304101!10e5!16s%2Fg%2F11g8ktnt5k!3m5!1s0x2e7af7ffda1ccde7:0x5c3f17bb3b905382!8m2!3d-7.7962697!4d110.3304101!16s%2Fg%2F11g8ktnt5k?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7962607,110.3302832",,,"42/f3vulq9x7dyrbynd2jxz
42/uqqln02u97wsijn6wz7k",
65,Ruko Bibis,"Jl Bibis, Rewulu Kulon, Sidokarto, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264",Ruko,Jual,1200,116,116,HM,81770283573,,,,,,,,
66,Ruko Jamal,"Jalan Magelang - Yogyakarta No.Km. 21, Sucen Kidul, Sucen, Kec. Salam, Kabupaten Magelang, Jawa Tengah 56484",Ruko,Jual,1700,280,280,HM,"-7.6260466,110.3157388",,,,,,,,
67,Ruko Waterpark,"Perumahan Citra Grand Mutiara, Jl. Wates, Perengdawe, Balecatur, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55752",Ruko,Jual,1450,"122,5","122,5",HM,"-7.813586,110.2835386",,,,,,,,
