FID,Shape,Nama Kelom,Nama,Alamat Len,Kategori P,Status Pro,Harga Prop,Luas Bangu,Luas Tanah,Jenis Sert,Dokumentas,NTL,KEP2025,EKON2025,Dekat Exit Tol,Bandar Udara,Kebun/Perkebunan,Permukiman Perdesaan,Permukiman Perkotaan,Permukiman Semi Desa,Rumput/Tanah Kosong,Sawah irigasi,Tegalan/Ladang,Rasio Luas Bangunan,LatLong,Latitude,Longitude
10,Point,Propix,Ruko Bale Mulia,"Jl. Kebon Agung, Duwet, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",Ruko,Jual,3750000000,160.0,100.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741960985951_img_%25d_%25096c5f87-50cc-474a-bc9b-30e04f3b94db.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.0,0.06,0.0,0.56,0.0,0.28,0.0,1.6,"-7.7378773,110.3535314",-7.7378773,110.3535314
11,Point,Propix,Damara Village,"Jl. Prawiro Sudiyono, Sanggrahan, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",Rumah,Jual,3793000000,146.0,176.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741841881976_img_%25a_%25a856d8f7-9338-43a4-88f5-e7d28e61a101.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.06,0.72,0.06,0.17,0.0,0.8295454545454546,"-7.729473719974676, 110.36975861534043",-7.729473719974676, 110.36975861534043
12,Point,Propix,Tomoro Coffe,"Jl. Seturan Raya No.C8, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,7500000000,300.0,380.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742134870843_img_%25a_%25ab52ce5b-cd05-4625-b58f-0c0cc953c3d2.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.06,0.0,0.89,0.0,0.0,0.06,0.0,0.7894736842105263,"-7.7688942,110.4100152",-7.7688942,110.4100152
13,Point,Propix,Borneo Mart,"Jl. Seturan Raya No.189, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,9900000000,480.0,200.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742134623795_img_%25a_%25d6ccb56b-82ee-458f-b35f-5562ae1f2a08.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.17,0.0,0.89,0.06,0.0,0.06,0.0,2.4,"-7.7627051,110.4118345",-7.7627051,110.4118345
15,Point,Propix,Altuz,"Jl. Seturan Raya No.10A, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,600000000,27.0,27.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741967101911_img_%25a_%25cd5e2913-f590-4a58-89de-87a493235901.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.11,0.0,0.78,0.0,0.0,0.06,0.0,1.0,"-7.7716919185644535, 110.4102371981543",-7.7716919185644535, 110.4102371981543
17,Point,Propix,Barsa City,"Jl. Laksda Adi Sutjipto Km. 7, Flyover, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman, Yogyakarta, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,635000000,23.0,23.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741904957809_img_%25d_%254b8db689-564e-4f84-9b35-1e4cdbecf620.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.06,0.0,0.72,0.06,0.0,0.0,0.0,1.0,"-7.7808518243088916, 110.41216693068078",-7.7808518243088916, 110.41216693068078
18,Point,Propix,Perumahan Casa Grande,"Jl. Casa Grande No.465, Jenengan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Rumah,Jual,4250000000,300.0,300.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741847370425_img_%25j_%250527d293-c4d4-44eb-ad21-9fbfbf2015cc.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.22,0.0,0.44,0.39,0.0,0.11,0.0,1.0,"-7.7623829,110.4204269",-7.7623829,110.4204269
19,Point,Propix,Tana Apartemen,"Jl. Babarsari No.TB 17/88, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,375000000,29.5,29.5,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741844221446_img_%25c_%2502bc61dc-21ce-4f49-9ff2-45c02e4eef76.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.17,0.0,0.61,0.11,0.0,0.06,0.0,1.0,"-7.769961392368682, 110.41649626931921",-7.769961392368682, 110.41649626931921
20,Point,Propix,Ruko Gejayan,"Jl. Affandi No.28, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,6000000000,250.0,110.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741802672326_img_%25c_%25f0286127-6257-4920-b36e-4cc4ba5e5e14.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,2.272727272727273,"-7.770943516432135, 110.38998626303241",-7.770943516432135, 110.38998626303241
21,Point,Propix,Hyarta Ecovillage,"Jl. Laksda Adisucipto km 8,5, Nayan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",Rumah,Jual,3800000000,125.0,157.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741847635605_img_%25b_%2514091ce6-b94e-406e-bc72-a709c6134d02.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.17,0.06,0.06,0.28,0.22,0.0,0.11,0.0,0.7961783439490446,"-7.7833067,110.4256114",-7.7833067,110.4256114
