FID;Shape;Nama Kelom;Nama Prope;Alamat Len;Kategori P;Status Pro;Harga Prop;Luas Bangu;Luas Tanah;Jenis Sert;Dokumentas;NTL;KEP2025;EKON2025;Dekat Exit Tol;Bandar Udara;Kebun/Perkebunan;Permukiman Perdesaan;Permukiman Perkotaan;Permukiman Semi Desa;Rumput/Tanah Kosong;Sawah irigasi;Tegalan/Ladang
10;Point;Propix;Ruko Bale Mulia;Jl. Kebon Agung, Duwet, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291;Ruko;Jual;3750000000;160;100;Sertifikat Hak Guna Bangunan (SHGB);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741960985951_img_%25d_%25096c5f87-50cc-474a-bc9b-30e04f3b94db.jpeg;Sedang;Tinggi;Tinggi;Tidak;0%;0%;6%;0%;56%;0%;28%;0%
11;Point;Propix;Damara Village;Jl. Prawiro Sudiyono, Sanggrahan, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285;Rumah;Jual;3793000000;146;176;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741841881976_img_%25a_%25a856d8f7-9338-43a4-88f5-e7d28e61a101.jpeg;Sedang;Tinggi;Tinggi;Tidak;0%;0%;0%;6%;72%;6%;17%;0%
12;Point;Propix;Tomoro Coffe;Jl. Seturan Raya No.C8, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Ruko;Jual;7500000000;300;380;Sertifikat Hak Guna Bangunan (SHGB);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742134870843_img_%25a_%25ab52ce5b-cd05-4625-b58f-0c0cc953c3d2.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;6%;0%;89%;0%;0%;6%;0%
13;Point;Propix;Borneo Mart;Jl. Seturan Raya No.189, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Ruko;Jual;9900000000;480;200;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742134623795_img_%25a_%25d6ccb56b-82ee-458f-b35f-5562ae1f2a08.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;17%;0%;89%;6%;0%;6%;0%
14;Point;Propix;Uttara Apartemen;Apartemen Uttara, Jl. Kaliurang Km 5, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284;Apartemen;Jual;1500000000;70;70;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1742003912133_img_%25e_%25fa939b61-b95e-45de-aee3-8a911a784379.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;0%;0%;89%;6%;0%;0%;0%
15;Point;Propix;Altuz;Jl. Seturan Raya No.10A, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Apartemen;Jual;600000000;27;27;Sertifikat Hak Guna Bangunan (SHGB);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741967101911_img_%25a_%25cd5e2913-f590-4a58-89de-87a493235901.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;11%;0%;78%;0%;0%;6%;0%
16;Point;Propix;Green Park;Jl. Baladewa, Glendongan, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Apartemen;Jual;900000000;49;49;PPJB;https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741961351518_img_%25b_%25c5d721b8-462c-4efd-8527-913e161ef78d.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;17%;0%;50%;11%;0%;11%;0%
17;Point;Propix;Barsa City;Jl. Laksda Adi Sutjipto Km. 7, Flyover, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman, Yogyakarta, Daerah Istimewa Yogyakarta 55281;Apartemen;Jual;635000000;23;23;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741904957809_img_%25d_%254b8db689-564e-4f84-9b35-1e4cdbecf620.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;6%;0%;72%;6%;0%;0%;0%
18;Point;Propix;Perumahan Casa Grande;Jl. Casa Grande No.465, Jenengan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Rumah;Jual;4250000000;300;300;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741847370425_img_%25j_%250527d293-c4d4-44eb-ad21-9fbfbf2015cc.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;22%;0%;44%;39%;0%;11%;0%
19;Point;Propix;Tana Apartemen;Jl. Babarsari No.TB 17/88, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Apartemen;Jual;375000000;29.5;29.5;Sertifikat Hak Guna Bangunan (SHGB);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741844221446_img_%25c_%2502bc61dc-21ce-4f49-9ff2-45c02e4eef76.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;17%;0%;61%;11%;0%;6%;0%
